title,price,is_both_ways,travel_dates,miles,routing,travel_info,posting_date
"Air Canada - $503: New York / Newark - Beijing, China. Roundtrip, including all Taxes",503,0,Not Found,"<li><strong>Miles Flown:</strong> 13,828 miles or 3.6 cents per mile</li>","<li>LGA - YYZ (Toronto) - PEK (Beijing) - YYZ - LGA. Also available from EWR, use NYC on the From: field on <a class=""thirstylink"" title=""Priceline"" href=""http://www.theflightdeal.com/go/priceline/"" target=""_blank"" rel=""nofollow"">Priceline</a> to search for both.</li>","<li>Valid for travel on the outbound until early December or mid January, 2017 - June, 2017 for Monday through Thursday departures and returns. Availability is limited. Must purchase at least 3 days in advance of departure and by <strong>November 11th (TODAY)</strong></li>",11 Nov 2016
"Delta - $373: Dallas / Phoenix - Madrid, Spain. Roundtrip, including all Taxes",373,0,"%January, 2017 - March, 2017%January%, 2017%%March%, 2017","<li><strong>Miles Flown: </strong>10,046 miles or 3.7 cents per mile</li>",<li>DFW - JFK (New York) - MAD (Madrid) - ATL (Atlanta) - DFW</li>,"<li><strong>Dallas:</strong> Valid for travel on the outbound until early December or January, 2017 - March, 2017. It is $20 more in 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",10 Nov 2016
"American - $87: Los Angeles - Portland, Oregon (and vice versa). Roundtrip, including all Taxes",87,1,Not Found,"<li><strong>Miles Flown: </strong>1,668 miles or 5.2 cents per mile<strong><br>
</strong></li>",<li>LAX - PDX (Portland) - LAX</li>,"<li>Valid for travel from January, 2017 - early February, 2017. Must purchase at least 7 days in advance of departure</li>",09 Nov 2016
"American - $392: Boston - Barcelona / Madrid / Milan / Rome. Roundtrip, including all Taxes",392,0,Not Found,"<li><strong>Miles Flown: </strong>8,010 miles or 4.9 cents per mile</li>",<li>BOS - JFK (New York) - BCN (Barcelona) - JFK - BOS</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - early April, 2017. April, 2017 - early May, 2017 availability for about $30 more. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",08 Nov 2016
"jetBlue - $147: Boston - New Orleans (and vice versa). Roundtrip, including all Taxes",147,1,Not Found,"<li><strong>Miles Flown: </strong>2,734 miles or 5.3 cents per mile<strong><br>
</strong></li>",<li>BOS - MSY (New Orleans) - BOS</li>,<li>Valid for travel from November 30th - December 16th. Availability is limited. Must purchase at least 21 days in advance of departure.</li>,07 Nov 2016
"Delta - $203: Oakland, California - New Orleans / Austin / Nashville / Atlanta (and vice versa). Roundtrip, including all Taxes",203,1,Not Found,"<li><strong>Miles Flown: </strong>4,015 miles or 5.1 cents per mile<strong><br>
</strong></li>",<li>OAK - LAX (Los Angeles) - MSY (New Orleans) - SLC (Salt Lake City) - OAK</li>,"<li>Valid for travel until mid December or January, 2017 - early May, 2017. Must purchase at least 21 days in advance of departure</li>",06 Nov 2016
"Qatar Airways - $714: Washington D.C. - Addis Ababa, Ethiopia. Roundtrip, including all Taxes",714,0,"%January, 2017 - March, 2017%January%, 2017%%March%, 2017","<li><strong>Miles Flown:</strong> 16,632 miles or 4.3 cents per mile</li>",<li>IAD - DOH (Doha) - ADD (Addis Ababa) - DOH - IAD</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017 for Sunday through Wednesday departures and Monday through Thursday returns. A 7 day minimum stay is required. Availability is limited. Must purchase at least 3 days in advance of departure</li>",06 Nov 2016
"American - $279: Newark - Mexico City, Mexico. Roundtrip, including all Taxes",279,0,"%January, 2017 - April, 2017%January%, 2017%%April%, 2017","<li><strong>Miles Flown: </strong>4,614 miles or 6.0 cents per mile</li>",<li>EWR - DFW (Dallas) - MEX (Mexico City) - DFW - EWR</li>,"<li>Valid for travel until early December or January,title,price,is_both_ways,travel_dates,miles,routing,travel_info,posting_date
"Air Canada - $503: New York / Newark - Beijing, China. Roundtrip, including all Taxes",503,0,early %December%December%%%,"<li><strong>Miles Flown:</strong> 13,828 miles or 3.6 cents per mile</li>","<li>LGA - YYZ (Toronto) - PEK (Beijing) - YYZ - LGA. Also available from EWR, use NYC on the From: field on <a class=""thirstylink"" title=""Priceline"" href=""http://www.theflightdeal.com/go/priceline/"" target=""_blank"" rel=""nofollow"">Priceline</a> to search for both.</li>","<li>Valid for travel on the outbound until early December or mid January, 2017 - June, 2017 for Monday through Thursday departures and returns. Availability is limited. Must purchase at least 3 days in advance of departure and by <strong>November 11th (TODAY)</strong></li>",11 Nov 2016
"Delta - $373: Dallas / Phoenix - Madrid, Spain. Roundtrip, including all Taxes",373,0,early %December%December%%%,"<li><strong>Miles Flown: </strong>10,046 miles or 3.7 cents per mile</li>",<li>DFW - JFK (New York) - MAD (Madrid) - ATL (Atlanta) - DFW</li>,"<li><strong>Dallas:</strong> Valid for travel on the outbound until early December or January, 2017 - March, 2017. It is $20 more in 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",10 Nov 2016
"American - $87: Los Angeles - Portland, Oregon (and vice versa). Roundtrip, including all Taxes",87,1,"%January, 2017 - early February, 2017%January%%%, 2017%early %February%%%, 2017","<li><strong>Miles Flown: </strong>1,668 miles or 5.2 cents per mile<strong><br>
</strong></li>",<li>LAX - PDX (Portland) - LAX</li>,"<li>Valid for travel from January, 2017 - early February, 2017. Must purchase at least 7 days in advance of departure</li>",09 Nov 2016
"American - $392: Boston - Barcelona / Madrid / Milan / Rome. Roundtrip, including all Taxes",392,0,early %December%December%%%,"<li><strong>Miles Flown: </strong>8,010 miles or 4.9 cents per mile</li>",<li>BOS - JFK (New York) - BCN (Barcelona) - JFK - BOS</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - early April, 2017. April, 2017 - early May, 2017 availability for about $30 more. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",08 Nov 2016
"jetBlue - $147: Boston - New Orleans (and vice versa). Roundtrip, including all Taxes",147,1,%November 30th - December 16th%November% 30th%th%%%December% 16th%th%,"<li><strong>Miles Flown: </strong>2,734 miles or 5.3 cents per mile<strong><br>
</strong></li>",<li>BOS - MSY (New Orleans) - BOS</li>,<li>Valid for travel from November 30th - December 16th. Availability is limited. Must purchase at least 21 days in advance of departure.</li>,07 Nov 2016
"Delta - $203: Oakland, California - New Orleans / Austin / Nashville / Atlanta (and vice versa). Roundtrip, including all Taxes",203,1,mid %December%December%%%,"<li><strong>Miles Flown: </strong>4,015 miles or 5.1 cents per mile<strong><br>
</strong></li>",<li>OAK - LAX (Los Angeles) - MSY (New Orleans) - SLC (Salt Lake City) - OAK</li>,"<li>Valid for travel until mid December or January, 2017 - early May, 2017. Must purchase at least 21 days in advance of departure</li>",06 Nov 2016
"Qatar Airways - $714: Washington D.C. - Addis Ababa, Ethiopia. Roundtrip, including all Taxes",714,0,"%January, 2017 - March, 2017%January%%%, 2017%%March%%%, 2017","<li><strong>Miles Flown:</strong> 16,632 miles or 4.3 cents per mile</li>",<li>IAD - DOH (Doha) - ADD (Addis Ababa) - DOH - IAD</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017 for Sunday through Wednesday departures and Monday through Thursday returns. A 7 day minimum stay is required. Availability is limited. Must purchase at least 3 days in advance of departure</li>",06 Nov 2016
"American - $279: Newark - Mexico City, Mexico. Roundtrip, including all Taxes",279,0,early %December%December%%%,"<li><strong>Miles Flown: </strong>4,614 miles or 6.0 cents per mile</li>",<li>EWR - DFW (Dallas) - MEX (Mexico City) - DFW - EWR</li>,"<li>Valid for travel until early December or January, 2017 - April, 2017. Availability is extremely limited - just a few scattered dates per month. Must purchase at least 7 days in advance of departure</li>",05 Nov 2016
"American - $116: Dallas - Las Vegas (and vice versa). Roundtrip, including all Taxes",116,1,"%January, 2017 - early February, 2017%January%%%, 2017%early %February%%%, 2017","<li><strong>Miles Flown: </strong>2,104 miles or 5.5 cents per mile<strong><br>
</strong></li>",<li>DFW - LAS (Las Vegas) - DFW</li>,"<li>Valid for travel in early December or January, 2017 - early February, 2017. Availability is limited. Must purchase at least 21 days in advance of departure</li>",04 Nov 2016
